|  Horários | |   Horários  |
     | 00:01 |       | 00:00 |
     | 00:13 |       | 00:12 |
     | 00:25 |       | 00:24 |
     | 00:37 |       | 00:36 |
     | 00:49 |       | 00:48 |
     | 01:01 |       | 01:00 |
     | 01:13 |       | 01:12 |
     | 01:25 |       | 01:24 |
     | 01:37 |       | 01:36 |
     | 01:49 |       | 01:48 |
     | 02:01 |       | 02:00 |
     | 02:13 |       | 02:12 |
     | 02:25 |       | 02:24 |
     | 02:37 |       | 02:36 |
     | 02:49 |       | 02:48 |
     | 03:01 |       | 03:00 |
     | 03:13 |       | 03:12 |
     | 03:25 |       | 03:24 |
     | 03:37 |       | 03:36 |
     | 03:49 |       | 03:48 |
     | 04:01 |       | 04:00 |
     | 04:13 |       | 04:12 |
     | 04:25 |       | 04:24 |
     | 04:37 |       | 04:36 |
     | 04:49 |       | 04:48 |
     | 05:01 |       | 05:00 |
     | 05:13 |       | 05:12 |
     | 05:25 |       | 05:24 |
     | 05:37 |       | 05:36 |
     | 05:49 |       | 05:48 |
     | 06:01 |       | 06:00 |
     | 06:13 |       | 06:12 |
     | 06:25 |       | 06:24 |
     | 06:37 |       | 06:36 |
     | 06:49 |       | 06:48 |
     | 07:01 |       | 07:00 |
     | 07:13 |       | 07:12 |
     | 07:25 |       | 07:24 |
     | 07:37 |       | 07:36 |
     | 07:49 |       | 07:48 |
     | 08:01 |       | 08:00 |
     | 08:13 |       | 08:12 |
     | 08:25 |       | 08:24 |
     | 08:37 |       | 08:36 |
     | 08:49 |       | 08:48 |
     | 09:01 |       | 09:00 |
     | 09:13 |       | 09:12 |
     | 09:25 |       | 09:24 |
     | 09:37 |       | 09:36 |
     | 09:49 |       | 09:48 |
     | 10:01 |       | 10:00 |
     | 10:13 |       | 10:12 |
     | 10:25 |       | 10:24 |
     | 10:37 |       | 10:36 |
     | 10:49 |       | 10:48 |
     | 11:01 |       | 11:00 |
     | 11:13 |       | 11:12 |
     | 11:25 |       | 11:24 |
     | 11:37 |       | 11:36 |
     | 11:49 |       | 11:48 |
     | 12:01 |       | 12:00 |
     | 12:13 |       | 12:12 |
     | 12:25 |       | 12:24 |
     | 12:37 |       | 12:36 |
     | 12:49 |       | 12:48 |
     | 13:01 |       | 13:00 |
     | 13:13 |       | 13:12 |
     | 13:25 |       | 13:24 |
     | 13:37 |       | 13:36 |
     | 13:49 |       | 13:48 |
     | 14:01 |       | 14:00 |
     | 14:13 |       | 14:12 |
     | 14:25 |       | 14:24 |
     | 14:37 |       | 14:36 |
     | 14:49 |       | 14:48 |
     | 15:01 |       | 15:00 |
     | 15:13 |       | 15:12 |
     | 15:25 |       | 15:24 |
     | 15:37 |       | 15:36 |
     | 15:49 |       | 15:48 |
     | 16:01 |       | 16:00 |
     | 16:13 |       | 16:12 |
     | 16:25 |       | 16:24 |
     | 16:37 |       | 16:36 |
     | 16:49 |       | 16:48 |
     | 17:01 |       | 17:00 |
     | 17:13 |       | 17:12 |
     | 17:25 |       | 17:24 |
     | 17:37 |       | 17:36 |
     | 17:49 |       | 17:48 |
     | 18:01 |       | 18:00 |
     | 18:13 |       | 18:12 |
     | 18:25 |       | 18:24 |
     | 18:37 |       | 18:36 |
     | 18:49 |       | 18:48 |
     | 19:01 |       | 19:00 |
     | 19:13 |       | 19:12 |
     | 19:25 |       | 19:24 |
     | 19:37 |       | 19:36 |
     | 19:49 |       | 19:48 |
     | 20:01 |       | 20:00 |
     | 20:13 |       | 20:12 |
     | 20:25 |       | 20:24 |
     | 20:37 |       | 20:36 |
     | 20:49 |       | 20:48 |
     | 21:01 |       | 21:00 |
     | 21:13 |       | 21:12 |
     | 21:25 |       | 21:24 |
     | 21:37 |       | 21:36 |
     | 21:49 |       | 21:48 |
     | 22:01 |       | 22:00 |
     | 22:13 |       | 22:12 |
     | 22:25 |       | 22:24 |
     | 22:37 |       | 22:36 |
     | 22:49 |       | 22:48 |
     | 23:01 |       | 23:00 |
     | 23:13 |       | 23:12 |
     | 23:25 |       | 23:24 |
     | 23:37 |       | 23:36 |
     | 23:49 |       | 23:48 |
